,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
0,0.9888346195220947,0.977649986743927,0.983210563659668,83.49950232057655,"[11, 10, 7, 5]","[11, 10, 9, 8]","[100.0, 100.0, 77.77777777777777, 62.5]",1.0,11,11,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
1,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[23, 22, 21, 20]","[23, 22, 21, 20]","[100.0, 100.0, 100.0, 100.0]",1.0,23,23,1.0,1.0,1.0,1.0
2,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
3,0.9670892953872681,0.9670892953872681,0.9670892953872681,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,1.0,0.8000000000000002,0.8181818181818182,0.8181818181818182
4,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
5,0.9630755186080933,0.9635580778121948,0.9633167386054993,80.70557274927978,"[10, 8, 7, 6]","[11, 10, 9, 8]","[90.9090909090909, 80.0, 77.77777777777777, 75.0]",1.0,11,11,0.8888888888888888,0.875,0.8888888888888888,0.8888888888888888
6,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
8,0.9700061678886414,0.9651936292648315,0.9651936292648315,57.73502691896257,"[10, 7, 4, 2]","[10, 9, 8, 7]","[100.0, 77.77777777777777, 50.0, 28.571428571428573]",1.0,10,10,0.8333333333333333,0.7,0.8181818181818182,0.8181818181818182
9,0.9766182899475098,0.9614582657814026,0.968979001045227,66.15360879944738,"[10, 8, 6, 3]","[10, 9, 8, 7]","[100.0, 88.88888888888889, 75.0, 42.857142857142854]",0.9048374180359595,10,11,0.9090909090909091,0.7000000000000001,0.8181818181818182,0.8181818181818182
10,0.958707332611084,0.964594841003418,0.9595282673835754,68.65890479690388,"[11, 8, 6, 5]","[12, 11, 10, 9]","[91.66666666666667, 72.72727272727273, 60.0, 55.55555555555556]",1.0,12,12,0.8571428571428572,0.6,0.761904761904762,0.761904761904762
11,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
14,0.9398910999298096,0.9393811821937561,0.9396361112594604,31.02016197007,"[7, 4, 2, 0]","[9, 8, 7, 6]","[77.77777777777777, 50.0, 28.571428571428573, 8.333333333333334]",1.0,9,9,0.7777777777777778,0.5,0.4444444444444444,0.4444444444444444
15,0.9427339434623718,0.9456318020820618,0.9441806674003601,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,0.8571428571428572,0.6,0.7272727272727273,0.7272727272727273
16,0.9596817493438721,0.9925063848495483,0.9569150805473328,78.56293018010261,"[10, 8, 6, 4]","[10, 9, 8, 7]","[100.0, 88.88888888888889, 75.0, 57.142857142857146]",1.0,10,10,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
17,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
18,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
19,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
20,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,100.00000000000004,"[13, 12, 11, 10]","[13, 12, 11, 10]","[100.0, 100.0, 100.0, 100.0]",1.0,13,13,1.0,1.0,1.0,1.0
23,0.9625347256660461,0.9456934928894043,0.9456934928894043,50.88274727401554,"[9, 7, 4, 2]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 50.0, 28.571428571428573]",0.9048374180359595,10,11,0.9166666666666666,0.7272727272727272,0.8333333333333333,0.8333333333333333
24,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
26,0.9173120260238647,0.885338306427002,0.901041567325592,28.98580955281284,"[7, 3, 1, 0]","[7, 6, 5, 4]","[100.0, 50.0, 20.0, 12.5]",0.8668778997501817,7,8,0.8,0.4615384615384615,0.4615384615384615,0.4615384615384615
27,1.0,1.0,1.0,100.00000000000004,"[5, 4, 3, 2]","[5, 4, 3, 2]","[100.0, 100.0, 100.0, 100.0]",1.0,5,5,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
29,0.9851210713386536,0.9643174409866333,0.9746081829071045,79.56371661921447,"[9, 7, 6, 5]","[9, 8, 7, 6]","[100.0, 87.5, 85.71428571428571, 83.33333333333333]",0.8948393168143697,9,10,0.9333333333333333,0.7692307692307692,0.9333333333333333,0.9333333333333333
30,0.9752101898193359,0.9894766211509705,0.982291579246521,50.000000000000014,"[7, 5, 3, 1]","[8, 7, 6, 5]","[87.5, 71.42857142857143, 50.0, 20.0]",1.0,8,7,0.923076923076923,0.7272727272727272,0.923076923076923,0.923076923076923
31,0.9636853337287903,0.9350001215934753,0.9409061670303345,52.3122368913534,"[5, 4, 2, 0]","[5, 4, 3, 2]","[100.0, 100.0, 66.66666666666667, 25.0]",0.8187307530779819,5,6,0.888888888888889,0.5714285714285715,0.888888888888889,0.888888888888889
32,0.9999998211860657,0.9999998211860657,0.9999998211860657,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
33,0.9631483554840088,0.9631483554840088,0.9631483554840088,45.96613576124595,"[9, 5, 3, 1]","[9, 8, 7, 6]","[100.0, 62.5, 42.857142857142854, 16.666666666666668]",1.0,9,9,1.0,0.7142857142857143,0.5,0.5
34,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[16, 15, 14, 13]","[16, 15, 14, 13]","[100.0, 100.0, 100.0, 100.0]",1.0,16,16,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
36,0.9831118583679199,0.974410891532898,0.9787420034408569,74.8705249982442,"[14, 12, 10, 8]","[15, 14, 13, 12]","[93.33333333333333, 85.71428571428571, 76.92307692307692, 66.66666666666667]",0.9355069850316178,15,16,0.9032258064516129,0.8275862068965518,0.9032258064516129,0.9032258064516129
37,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[18, 17, 16, 15]","[18, 17, 16, 15]","[100.0, 100.0, 100.0, 100.0]",1.0,18,18,1.0,1.0,1.0,1.0
38,0.9607623219490051,0.9611821174621582,0.9609721899032593,73.48889200874659,"[11, 9, 7, 5]","[12, 11, 10, 9]","[91.66666666666667, 81.81818181818181, 70.0, 55.55555555555556]",1.0,12,12,0.9090909090909091,0.8000000000000002,0.9090909090909091,0.9090909090909091
39,0.9230227470397949,0.9354088306427002,0.9291744828224182,23.356898886410015,"[6, 3, 1, 0]","[9, 8, 7, 6]","[66.66666666666667, 37.5, 14.285714285714286, 8.333333333333334]",1.0,9,8,0.7142857142857143,0.3636363636363636,0.7142857142857143,0.7142857142857143
40,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
43,0.983605146408081,0.9533110857009888,0.9682211875915527,17.39350277271197,"[5, 2, 0, 0]","[6, 5, 4, 3]","[83.33333333333333, 40.0, 12.5, 8.333333333333334]",0.7165313105737893,6,8,0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666
44,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
45,0.9036070704460144,0.899381697177887,0.9014893770217896,23.04318198457308,"[5, 3, 1, 0]","[6, 5, 4, 3]","[83.33333333333333, 60.0, 25.0, 16.666666666666668]",0.6065306597126334,6,9,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666
46,0.9359222650527954,0.8882726430892944,0.9114751219749451,18.594002123233256,"[6, 3, 1, 0]","[8, 7, 6, 5]","[75.0, 42.857142857142854, 16.666666666666668, 10.0]",0.6872892787909722,8,11,0.588235294117647,0.26666666666666666,0.588235294117647,0.588235294117647
47,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
48,0.9097625017166138,0.9107138514518738,0.9073892831802368,21.069764742263047,"[6, 3, 1, 0]","[8, 7, 6, 5]","[75.0, 42.857142857142854, 16.666666666666668, 10.0]",0.7788007830714049,8,10,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.6666666666666666
49,0.9481887817382812,0.9351550936698914,0.941626787185669,27.054113452696992,"[6, 3, 1, 0]","[8, 7, 6, 5]","[75.0, 42.857142857142854, 16.666666666666668, 10.0]",1.0,8,7,0.7142857142857143,0.3333333333333333,0.5714285714285715,0.5714285714285715
50,0.9716165661811829,0.9879938364028931,0.9797367453575134,73.48889200874659,"[11, 9, 7, 5]","[12, 11, 10, 9]","[91.66666666666667, 81.81818181818181, 70.0, 55.55555555555556]",1.0,12,11,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.9523809523809523
51,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
53,0.9726512432098389,0.9519506692886353,0.9621896743774414,24.329268691415322,"[8, 4, 1, 0]","[8, 7, 6, 5]","[100.0, 57.142857142857146, 16.666666666666668, 10.0]",0.7788007830714049,8,10,0.75,0.42857142857142855,0.75,0.75
54,0.8877838850021362,0.901451826095581,0.8945656418800354,29.071536848410968,"[6, 3, 2, 1]","[10, 9, 8, 7]","[60.0, 33.333333333333336, 25.0, 14.285714285714286]",1.0,10,8,0.6153846153846153,0.3636363636363636,0.6153846153846153,0.6153846153846153
55,0.9416444301605225,0.9101466536521912,0.925627589225769,59.00922157527738,"[13, 11, 8, 6]","[14, 13, 12, 11]","[92.85714285714286, 84.61538461538461, 66.66666666666667, 54.54545454545455]",0.8071177470053894,14,17,0.75,0.5454545454545455,0.75,0.75
56,0.9553216099739075,0.9460635185241699,0.950670063495636,54.10822690539397,"[6, 4, 3, 2]","[8, 7, 6, 5]","[75.0, 57.142857142857146, 50.0, 40.0]",1.0,8,8,0.75,0.5714285714285714,0.75,0.75
57,1.0000001192092896,1.0000001192092896,1.0000001192092896,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
58,0.975320041179657,0.9254612922668457,0.9497367739677429,69.14415692838826,"[8, 6, 4, 2]","[8, 7, 6, 5]","[100.0, 85.71428571428571, 66.66666666666667, 40.0]",1.0,8,8,0.8235294117647058,0.6666666666666667,0.8235294117647058,0.8235294117647058
59,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
