,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
0,0.9888346195220947,0.977649986743927,0.983210563659668,83.49950232057655,"[11, 10, 7, 5]","[11, 10, 9, 8]","[100.0, 100.0, 77.77777777777777, 62.5]",1.0,11,11,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
1,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[23, 22, 21, 20]","[23, 22, 21, 20]","[100.0, 100.0, 100.0, 100.0]",1.0,23,23,1.0,1.0,1.0,1.0
2,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
3,0.9670892953872681,0.9670892953872681,0.9670892953872681,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,1.0,0.8000000000000002,0.8181818181818182,0.8181818181818182
4,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
6,0.998059093952179,0.9899339079856873,0.9939799308776855,71.0866788975034,"[10, 8, 6, 4]","[10, 9, 8, 7]","[100.0, 88.88888888888889, 75.0, 57.142857142857146]",0.9048374180359595,10,11,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
8,0.9700061678886414,0.9651936292648315,0.9651936292648315,57.73502691896257,"[10, 7, 4, 2]","[10, 9, 8, 7]","[100.0, 77.77777777777777, 50.0, 28.571428571428573]",1.0,10,10,0.8333333333333333,0.7,0.8181818181818182,0.8181818181818182
9,0.9645938277244568,0.9484838247299194,0.9528937935829163,75.16501147964685,"[10, 8, 6, 5]","[10, 9, 8, 7]","[100.0, 88.88888888888889, 75.0, 71.42857142857143]",0.9048374180359595,10,11,0.9090909090909091,0.7000000000000001,0.8181818181818182,0.8181818181818182
10,0.958707332611084,0.964594841003418,0.9595282673835754,68.65890479690388,"[11, 8, 6, 5]","[12, 11, 10, 9]","[91.66666666666667, 72.72727272727273, 60.0, 55.55555555555556]",1.0,12,12,0.8571428571428572,0.6,0.761904761904762,0.761904761904762
11,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
14,0.9358426332473755,0.9880163073539734,0.9612220525741577,86.33400213704509,"[8, 7, 6, 5]","[9, 8, 7, 6]","[88.88888888888889, 87.5, 85.71428571428571, 83.33333333333333]",1.0,9,9,0.9473684210526316,0.9411764705882353,0.9473684210526316,0.9473684210526316
15,0.935096025466919,0.9448615312576294,0.9399534463882446,68.65890479690388,"[11, 8, 6, 5]","[12, 11, 10, 9]","[91.66666666666667, 72.72727272727273, 60.0, 55.55555555555556]",1.0,12,12,0.761904761904762,0.6,0.7272727272727273,0.7272727272727273
16,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
18,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
19,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
21,0.9538673162460327,0.9538673162460327,0.9538673162460327,66.06328636027612,"[8, 6, 5, 4]","[10, 9, 8, 7]","[80.0, 66.66666666666667, 62.5, 57.142857142857146]",1.0,10,9,1.0,0.7777777777777778,0.7,0.7
22,1.0,1.0,1.0,100.00000000000004,"[13, 12, 11, 10]","[13, 12, 11, 10]","[100.0, 100.0, 100.0, 100.0]",1.0,13,13,1.0,1.0,1.0,1.0
23,0.9625347256660461,0.9456934928894043,0.9456934928894043,50.88274727401554,"[9, 7, 4, 2]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 50.0, 28.571428571428573]",0.9048374180359595,10,11,0.9166666666666666,0.7272727272727272,0.8333333333333333,0.8333333333333333
24,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
26,0.8869006633758545,0.8859760165214539,0.8864380717277527,13.540372457315735,"[4, 1, 0, 0]","[7, 6, 5, 4]","[57.142857142857146, 16.666666666666668, 10.0, 6.25]",0.8668778997501817,7,8,0.6666666666666665,0.28571428571428575,0.6666666666666665,0.6666666666666665
27,1.0,1.0,1.0,100.00000000000004,"[5, 4, 3, 2]","[5, 4, 3, 2]","[100.0, 100.0, 100.0, 100.0]",1.0,5,5,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
30,0.9360151290893555,0.9686303734779358,0.9520435333251953,20.556680845025987,"[6, 3, 1, 0]","[10, 9, 8, 7]","[60.0, 33.333333333333336, 12.5, 7.142857142857143]",1.0,10,7,0.6666666666666667,0.3076923076923077,0.6666666666666667,0.6666666666666667
31,0.9636853337287903,0.9350001215934753,0.9409061670303345,52.3122368913534,"[5, 4, 2, 0]","[5, 4, 3, 2]","[100.0, 100.0, 66.66666666666667, 25.0]",0.8187307530779819,5,6,0.888888888888889,0.5714285714285715,0.888888888888889,0.888888888888889
32,0.9999998211860657,0.9999998211860657,0.9999998211860657,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
33,0.9631483554840088,0.9631483554840088,0.9631483554840088,45.96613576124595,"[9, 5, 3, 1]","[9, 8, 7, 6]","[100.0, 62.5, 42.857142857142854, 16.666666666666668]",1.0,9,9,1.0,0.7142857142857143,0.5,0.5
34,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[16, 15, 14, 13]","[16, 15, 14, 13]","[100.0, 100.0, 100.0, 100.0]",1.0,16,16,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
36,0.9831118583679199,0.974410891532898,0.9787420034408569,74.8705249982442,"[14, 12, 10, 8]","[15, 14, 13, 12]","[93.33333333333333, 85.71428571428571, 76.92307692307692, 66.66666666666667]",0.9355069850316178,15,16,0.9032258064516129,0.8275862068965518,0.9032258064516129,0.9032258064516129
37,0.9937919974327087,0.9937919974327087,0.9937919974327087,83.94327083733333,"[17, 15, 13, 11]","[18, 17, 16, 15]","[94.44444444444444, 88.23529411764706, 81.25, 73.33333333333333]",1.0,18,18,0.9375,0.8666666666666667,0.9375,0.9375
38,1.0,1.0,1.0,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
40,0.9495391845703125,0.9812095165252686,0.9651145935058594,39.281465090051306,"[9, 4, 2, 1]","[9, 8, 7, 6]","[100.0, 50.0, 28.571428571428573, 16.666666666666668]",1.0,9,9,0.8750000000000001,0.5714285714285715,0.8750000000000001,0.8750000000000001
41,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
43,0.9198107719421387,0.8821543455123901,0.8946039080619812,14.535768424205482,"[6, 1, 0, 0]","[8, 7, 6, 5]","[75.0, 14.285714285714286, 8.333333333333334, 5.0]",1.0,8,8,0.5263157894736842,0.1818181818181818,0.4615384615384615,0.4615384615384615
44,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
45,0.9036070704460144,0.899381697177887,0.9014893770217896,23.04318198457308,"[5, 3, 1, 0]","[6, 5, 4, 3]","[83.33333333333333, 60.0, 25.0, 16.666666666666668]",0.6065306597126334,6,9,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666
46,0.9668030738830566,0.9668030738830566,0.9668030738830566,63.15552371794039,"[9, 7, 5, 4]","[11, 10, 9, 8]","[81.81818181818181, 70.0, 55.55555555555556, 50.0]",1.0,11,11,0.8000000000000002,0.6666666666666666,0.8000000000000002,0.8000000000000002
47,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
53,0.9597447514533997,0.9656668305397034,0.9626967310905457,30.213753973567677,"[11, 6, 2, 0]","[11, 10, 9, 8]","[100.0, 60.0, 22.22222222222222, 6.25]",1.0,11,10,0.8421052631578948,0.47058823529411764,0.7368421052631577,0.7368421052631577
54,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
55,0.9373933672904968,0.9101754426956177,0.9231981039047241,68.48601332628384,"[15, 13, 9, 7]","[15, 14, 13, 12]","[100.0, 92.85714285714286, 69.23076923076923, 58.333333333333336]",0.8751733190429475,15,17,0.7200000000000001,0.5217391304347826,0.7200000000000001,0.7200000000000001
56,0.9514517784118652,0.9445877075195312,0.948007345199585,61.47881529512649,"[8, 5, 3, 2]","[8, 7, 6, 5]","[100.0, 71.42857142857143, 50.0, 40.0]",1.0,8,8,1.0,0.5714285714285714,0.875,0.875
57,1.0000001192092896,1.0000001192092896,1.0000001192092896,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
58,0.975320041179657,0.9254612922668457,0.9497367739677429,69.14415692838826,"[8, 6, 4, 2]","[8, 7, 6, 5]","[100.0, 85.71428571428571, 66.66666666666667, 40.0]",1.0,8,8,0.8235294117647058,0.6666666666666667,0.8235294117647058,0.8235294117647058
59,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
61,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
