,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
0,0.9888346195220947,0.977649986743927,0.983210563659668,83.49950232057655,"[11, 10, 7, 5]","[11, 10, 9, 8]","[100.0, 100.0, 77.77777777777777, 62.5]",1.0,11,11,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
1,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[23, 22, 21, 20]","[23, 22, 21, 20]","[100.0, 100.0, 100.0, 100.0]",1.0,23,23,1.0,1.0,1.0,1.0
2,0.9654281139373779,0.9558210968971252,0.9606006145477295,58.088877148404045,"[13, 10, 7, 4]","[14, 13, 12, 11]","[92.85714285714286, 76.92307692307692, 58.333333333333336, 36.36363636363637]",0.9310627797040228,14,15,0.8695652173913043,0.6666666666666666,0.6086956521739131,0.6086956521739131
3,0.9670892953872681,0.9670892953872681,0.9670892953872681,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,1.0,0.8000000000000002,0.8181818181818182,0.8181818181818182
4,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
5,0.9973204731941223,0.9873702526092529,0.9923204779624939,90.48374180359599,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",0.9048374180359595,10,11,1.0,1.0,1.0,1.0
6,0.9607473611831665,0.9534426927566528,0.9570810794830322,25.54173603367238,"[8, 4, 2, 0]","[10, 9, 8, 7]","[80.0, 44.44444444444444, 25.0, 7.142857142857143]",0.9048374180359595,10,11,0.8181818181818182,0.6,0.5454545454545454,0.5454545454545454
7,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
8,0.9700061678886414,0.9651936292648315,0.9651936292648315,57.73502691896257,"[10, 7, 4, 2]","[10, 9, 8, 7]","[100.0, 77.77777777777777, 50.0, 28.571428571428573]",1.0,10,10,0.8333333333333333,0.7,0.8181818181818182,0.8181818181818182
9,0.948577880859375,0.9695249795913696,0.9589370489120483,57.7107532003675,"[12, 11, 8, 6]","[17, 16, 15, 14]","[70.58823529411765, 68.75, 53.333333333333336, 42.857142857142854]",1.0,17,14,0.8275862068965517,0.8148148148148148,0.6206896551724139,0.6206896551724139
10,0.9265462756156921,0.9515647888183594,0.934123694896698,70.80735452207037,"[9, 7, 6, 5]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 75.0, 71.42857142857143]",0.9048374180359595,10,11,0.7368421052631577,0.6666666666666665,0.7368421052631577,0.7368421052631577
11,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
14,0.8829550743103027,0.9272230863571167,0.9045478105545044,29.84745896009822,"[6, 4, 2, 0]","[9, 8, 7, 6]","[66.66666666666667, 50.0, 28.571428571428573, 8.333333333333334]",1.0,9,9,0.7368421052631577,0.47058823529411764,0.4210526315789474,0.4210526315789474
15,0.9427339434623718,0.9456318020820618,0.9441806674003601,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,0.8571428571428572,0.6,0.7272727272727273,0.7272727272727273
16,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
18,0.9482381343841553,0.9469635486602783,0.9476004242897034,31.02016197007,"[7, 4, 2, 0]","[9, 8, 7, 6]","[77.77777777777777, 50.0, 28.571428571428573, 8.333333333333334]",1.0,9,9,0.8000000000000002,0.5555555555555556,0.5,0.5
19,0.9577058553695679,0.9579878449440002,0.9578468203544617,54.52469119630866,"[10, 7, 5, 3]","[12, 11, 10, 9]","[83.33333333333333, 63.63636363636363, 50.0, 33.333333333333336]",1.0,12,12,0.8181818181818182,0.6,0.7999999999999999,0.7999999999999999
20,0.9565004110336304,0.9575868844985962,0.9570433497428894,51.56626918239823,"[10, 7, 4, 2]","[11, 10, 9, 8]","[90.9090909090909, 70.0, 44.44444444444444, 25.0]",1.0,11,11,0.9,0.6666666666666666,0.6,0.6
21,0.9538673162460327,0.9538673162460327,0.9538673162460327,66.06328636027612,"[8, 6, 5, 4]","[10, 9, 8, 7]","[80.0, 66.66666666666667, 62.5, 57.142857142857146]",1.0,10,9,1.0,0.7777777777777778,0.7,0.7
22,1.0,1.0,1.0,100.00000000000004,"[13, 12, 11, 10]","[13, 12, 11, 10]","[100.0, 100.0, 100.0, 100.0]",1.0,13,13,1.0,1.0,1.0,1.0
23,0.9625347256660461,0.9456934928894043,0.9456934928894043,50.88274727401554,"[9, 7, 4, 2]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 50.0, 28.571428571428573]",0.9048374180359595,10,11,0.9166666666666666,0.7272727272727272,0.8333333333333333,0.8333333333333333
24,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
26,0.8989071846008301,0.8918293714523315,0.8953542709350586,33.56891925037239,"[8, 4, 2, 1]","[10, 9, 8, 7]","[80.0, 44.44444444444444, 25.0, 14.285714285714286]",1.0,10,10,0.5555555555555556,0.42857142857142855,0.5,0.5
27,1.0,1.0,1.0,100.00000000000004,"[5, 4, 3, 2]","[5, 4, 3, 2]","[100.0, 100.0, 100.0, 100.0]",1.0,5,5,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
30,0.9515131711959839,0.9382269382476807,0.9448233842849731,37.99178428257963,"[5, 3, 1, 0]","[6, 5, 4, 3]","[83.33333333333333, 60.0, 25.0, 16.666666666666668]",1.0,6,5,0.7272727272727272,0.4444444444444445,0.7272727272727272,0.7272727272727272
31,0.9636853337287903,0.9350001215934753,0.9409061670303345,52.3122368913534,"[5, 4, 2, 0]","[5, 4, 3, 2]","[100.0, 100.0, 66.66666666666667, 25.0]",0.8187307530779819,5,6,0.888888888888889,0.5714285714285715,0.888888888888889,0.888888888888889
32,0.9999998211860657,0.9999998211860657,0.9999998211860657,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
33,0.9631483554840088,0.9631483554840088,0.9631483554840088,45.96613576124595,"[9, 5, 3, 1]","[9, 8, 7, 6]","[100.0, 62.5, 42.857142857142854, 16.666666666666668]",1.0,9,9,1.0,0.7142857142857143,0.5,0.5
34,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[16, 15, 14, 13]","[16, 15, 14, 13]","[100.0, 100.0, 100.0, 100.0]",1.0,16,16,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
36,0.9353387951850891,0.892802894115448,0.911898672580719,47.79995354275012,"[8, 6, 4, 2]","[9, 8, 7, 6]","[88.88888888888889, 75.0, 57.142857142857146, 33.333333333333336]",0.800737402916808,9,11,0.64,0.5217391304347827,0.64,0.64
37,0.9885792136192322,0.9805179834365845,0.9845321178436279,82.82477531331043,"[16, 14, 12, 10]","[17, 16, 15, 14]","[94.11764705882354, 87.5, 80.0, 71.42857142857143]",1.0,17,16,0.9032258064516129,0.8275862068965518,0.9032258064516129,0.9032258064516129
38,1.0,1.0,1.0,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
39,0.9230227470397949,0.9354088306427002,0.9291744828224182,23.356898886410015,"[6, 3, 1, 0]","[9, 8, 7, 6]","[66.66666666666667, 37.5, 14.285714285714286, 8.333333333333334]",1.0,9,8,0.7142857142857143,0.3636363636363636,0.7142857142857143,0.7142857142857143
40,0.9495391845703125,0.9812095165252686,0.9651145935058594,39.281465090051306,"[9, 4, 2, 1]","[9, 8, 7, 6]","[100.0, 50.0, 28.571428571428573, 16.666666666666668]",1.0,9,9,0.8750000000000001,0.5714285714285715,0.8750000000000001,0.8750000000000001
41,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
43,0.9344457387924194,0.9026613235473633,0.9091225266456604,15.510080985034998,"[7, 2, 0, 0]","[9, 8, 7, 6]","[77.77777777777777, 25.0, 7.142857142857143, 4.166666666666667]",1.0,9,8,0.6,0.2222222222222222,0.42857142857142855,0.42857142857142855
44,0.7941908836364746,0.8535288572311401,0.8227914571762085,8.913765521398126,"[4, 1, 0, 0]","[11, 10, 9, 8]","[36.36363636363637, 10.0, 5.555555555555555, 3.125]",1.0,11,9,0.375,0.14285714285714288,0.25,0.25
45,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
46,0.9668030738830566,0.9668030738830566,0.9668030738830566,63.15552371794039,"[9, 7, 5, 4]","[11, 10, 9, 8]","[81.81818181818181, 70.0, 55.55555555555556, 50.0]",1.0,11,11,0.8000000000000002,0.6666666666666666,0.8000000000000002,0.8000000000000002
47,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
49,0.9396887421607971,0.9272255897521973,0.9334155917167664,41.11336169005198,"[8, 3, 2, 1]","[8, 7, 6, 5]","[100.0, 42.857142857142854, 33.333333333333336, 20.0]",1.0,8,7,0.9333333333333333,0.4615384615384615,0.6666666666666666,0.6666666666666666
50,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
53,0.9597447514533997,0.9656668305397034,0.9626967310905457,30.213753973567677,"[11, 6, 2, 0]","[11, 10, 9, 8]","[100.0, 60.0, 22.22222222222222, 6.25]",1.0,11,10,0.8421052631578948,0.47058823529411764,0.7368421052631577,0.7368421052631577
54,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
55,0.9544134736061096,0.9085716009140015,0.9309285283088684,62.576425905281766,"[13, 11, 9, 7]","[13, 12, 11, 10]","[100.0, 91.66666666666667, 81.81818181818181, 70.0]",0.7351414805916845,13,17,0.6956521739130435,0.5714285714285714,0.6956521739130435,0.6956521739130435
56,0.9425840377807617,0.9359731078147888,0.9392669200897217,59.4603557501361,"[7, 5, 3, 2]","[8, 7, 6, 5]","[87.5, 71.42857142857143, 50.0, 40.0]",1.0,8,8,0.875,0.5714285714285714,0.875,0.875
57,1.0000001192092896,1.0000001192092896,1.0000001192092896,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
58,0.975320041179657,0.9254612922668457,0.9497367739677429,69.14415692838826,"[8, 6, 4, 2]","[8, 7, 6, 5]","[100.0, 85.71428571428571, 66.66666666666667, 40.0]",1.0,8,8,0.8235294117647058,0.6666666666666667,0.8235294117647058,0.8235294117647058
59,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
